
Entry	g_ordered-locus	g_name	PDB
Q9H9K5		ERVMER34-1	
P04439		HLA-A	1AKJ;1AO7;1AQD;1B0G;1B0R;1BD2;1DUY;1DUZ;1EEY;1EEZ;1HHG;1HHH;1HHI;1HHJ;1HHK;1HLA;1HSB;1I1F;1I1Y;1I4F;1I7R;1I7T;1I7U;1IM3;1JF1;1JHT;1LP9;1OGA;1P7Q;1Q94;1QEW;1QR1;1QRN;1QSE;1QSF;1QVO;1S8D;1S9W;1S9X;1S9Y;1T1W;1T1X;1T1Y;1T1Z;1T20;1T21;1T22;1TMC;1TVB;1TVH;1UR7;1W72;1X7Q;2AV1;2AV7;2BCK;2BNQ;2BNR;2C7U;2CLR;2F53;2F54;2GIT;2GJ6;2GT9;2GTW;2GTZ;2GUO;2HLA;2HN7;2J8U;2JCC;2P5E;2P5W;2PYE;2UWE;2V2W;2V2X;2VLJ;2VLK;2VLL;2VLR;2X4N;2X4O;2X4P;2X4Q;2X4R;2X4S;2X4T;2X4U;2X70;2XPG;3BGM;3BH8;3BH9;3BHB;3BO8;3D25;3D39;3D3V;3FQN;3FQR;3FQT;3FQU;3FQW;3FQX;3FT2;3FT3;3FT4;3GIV;3GJF;3GSN;3GSO;3GSQ;3GSR;3GSU;3GSV;3GSW;3GSX;3H7B;3H9H;3H9S;3HAE;3HLA;3HPJ;3I6G;3I6K;3I6L;3IXA;3KLA;3MGO;3MGT;3MR9;3MRB;3MRC;3MRD;3MRE;3MRF;3MRG;3MRH;3MRI;3MRJ;3MRK;3MRL;3MRM;3MRN;3MRO;3MRP;3MRQ;3MRR;3MYJ;3NFN;3O3A;3O3B;3O3D;3O3E;3O4L;3PWJ;3PWL;3PWN;3PWP;3QDG;3QDJ;3QDM;3QEQ;3QFD;3QFJ;3QZW;3REW;3RL1;3RL2;3TO2;3UTQ;3UTS;3UTT;3V5D;3V5H;3V5K;3VXM;3VXN;3VXO;3VXP;3VXR;3VXS;3VXU;3W0W;3WL9;3WLB;4E5X;4EMZ;4EN2;4EUP;4F7M;4F7P;4F7T;4FTV;4GKN;4GKS;4HWZ;4HX1;4I48;4I4W;4JFD;4JFE;4JFF;4JFO;4JFP;4JFQ;4K7F;4L29;4L3C;4L3E;4MJ5;4MJ6;4MNQ;4N8V;4NNX;4NNY;4NO0;4NO2;4NO3;4NO5;4NQV;4NQX;4OV5;4QOK;4U6X;4U6Y;4UQ2;4UQ3;4WJ5;4WU5;4WU7;4WUU;5BRZ;5BS0;5C07;5C08;5C09;5C0A;5C0B;5C0C;5C0D;5C0E;5C0F;5C0G;5C0I;5C0J;5D2L;5D2N;5D9S;5DDH;5E00;5E6I;5E9D;5ENW;5EOT;5EU3;5EU4;5EU5;5EU6;5EUO;5F7D;5F9J;5FA3;5FA4;5FDW;5GRD;5GRG;5GSD;5HGA;5HGB;5HGD;5HGH;5HHM;5HHN;5HHO;5HHP;5HHQ;5HYJ;5IRO;5ISZ;5JHD;5JZI;5MEN;5MEO;5MEP;5MEQ;5MER;5N1Y;5N6B;5NHT;5NME;5NMF;5NMG;5NMH;5NMK;5NQK;5SWQ;5TEZ;5W1W;5WJL;5WJN;5WKF;5WKH;5WSH;5WWI;5WWJ;5WWU;5WXC;5WXD;5XOV;5YXN;5YXU;6AM5;6AMT;6AMU;6APN;6AT9;6D78;6D7G;6DKP;6EI2;6ENY;6EQA;6EQB;6EWA;6EWC;6EWO;6G3J;6G3K;6ID4;6J1W;6J29;6J2A;6MPP;6NCA;6O9B;6O9C;6OPD;6PBH;6PTB;6PTE;6Q3K;6Q3S;6RP9;6RPA;6RPB;
P01889		HLA-B	1A1M;1A1N;1A1O;1A9B;1A9E;1AGB;1AGC;1AGD;1AGE;1AGF;1CG9;1E27;1E28;1HSA;1JGD;1JGE;1K5N;1M05;1M6O;1MI5;1N2R;1OF2;1OGT;1SYS;1SYV;1UXS;1UXW;1W0V;1W0W;1XH3;1XR8;1XR9;1ZHK;1ZHL;1ZSD;2A83;2AK4;2AXF;2AXG;2BSR;2BSS;2BST;2BVO;2BVP;2BVQ;2H6P;2HJL;2NW3;2NX5;2RFX;2YPK;2YPL;3B3I;3B6S;3BP4;3BP7;3BW9;3BWA;3C9N;3CZF;3D18;3DTX;3DX6;3DX7;3DX8;3DXA;3FFC;3HCV;3KPL;3KPM;3KPN;3KPO;3KPP;3KPQ;3KPR;3KPS;3KWW;3KXF;3L3D;3L3G;3L3I;3L3J;3L3K;3LKN;3LKO;3LKP;3LKQ;3LKR;3LKS;3LN4;3LN5;3LV3;3MV7;3MV8;3MV9;3SJV;3SKM;3SKO;3SPV;3UPR;3VCL;3VFS;3VFT;3VFU;3VFV;3VFW;3VH8;3VRI;3VRJ;3W39;3WUW;3X11;3X12;3X13;3X14;4G8G;4G8I;4G9D;4G9F;4JQV;4JQX;4LCY;4LNR;4MJI;4O2C;4O2E;4O2F;4PR5;4PRN;4QRP;4QRQ;4QRR;4QRS;4QRT;4QRU;4U1H;4U1I;4U1J;4U1K;4U1L;4U1M;4U1N;4U1S;4XXC;5B38;5B39;5DEF;5DEG;5EO0;5EO1;5IB1;5IB2;5IB3;5IB4;5IB5;5IEH;5IEK;5IM7;5INC;5IND;5T6W;5T6X;5T6Y;5T6Z;5T70;5TXS;5U98;5V5L;5V5M;5VUD;5VUE;5VUF;5VWD;5VWF;5VWH;5VWJ;5VZ5;5WMN;5WMO;5WMP;5WMQ;5WMR;5XOS;5XOT;6AT5;6AVF;6AVG;6BJ2;6BJ3;6BJ8;6BXP;6BXQ;6D29;6D2B;6D2R;6D2T;6MT3;6MT4;6MT5;6MT6;6MTL;6MTM;6P23;6P27;6P2C;6P2F;6P2S;6PYJ;6PYL;6PYV;6PYW;6PZ5;
P31689		DNAJA1	2LO1;2M6Y;6E8M;
P01911		HLA-DRB1	1A6A;1AQD;1BX2;1D5M;1D5X;1D5Z;1D6E;1DLH;1FYT;1HXY;1J8H;1JWM;1JWS;1JWU;1KG0;1KLG;1KLU;1LO5;1PYW;1R5I;1SEB;1SJE;1SJH;1T5W;1T5X;1YMM;2FSE;2G9H;2IAM;2IAN;2ICW;2IPK;2OJE;2SEB;2WBJ;2XN9;3L6F;3O6F;3PDO;3PGC;3PGD;3QXA;3QXD;3S4S;3S5L;3T0E;4AEN;4AH2;4C56;4E41;4FQX;4GBX;4I5B;4IS6;4MCY;4MCZ;4MD0;4MD4;4MD5;4MDI;4MDJ;4OV5;4X5W;4X5X;4Y19;4Y1A;5JLZ;5LAX;5NI9;5NIG;6BIJ;6BIL;6BIN;6BIR;6BIV;6BIX;6BIY;6BIZ;6CPL;6CPN;6CPO;6CQJ;6CQL;6CQN;6CQQ;6CQR;6HBY;6NIX;
P08246		ELANE	1B0F;1H1B;1HNE;1PPF;1PPG;2RG3;2Z7F;3Q76;3Q77;4NZL;4WVP;5A09;5A0A;5A0B;5A0C;5A8X;5A8Y;5A8Z;5ABW;6E69;6F5M;
P63244		RACK1	4AOW;4UG0;4V6X;5A2Q;5AJ0;5FLX;5LKS;5OA3;5T2C;5VYC;6EK0;6FEC;6G18;6G51;6G53;6G5H;6G5I;6IP5;6IP6;6IP8;6OLE;6OLF;6OLG;6OLI;6OLZ;6OM0;6OM7;6QZP;
P10144		GZMB	1FQ3;1IAU;
P10321		HLA-C	1EFX;1IM9;1QQD;3BZF;4NT6;5VGD;5VGE;5W67;5W69;5W6A;
P25685		DNAJB1	1HDJ;2QLD;3AGX;3AGY;3AGZ;4WB7;6BYR;
